SampleID	Year_Plot	SampleName	SampleNo	SampleType	LibraryType	Year	TubeName	Seedlot	OriginalNo	RepNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
X32.30.2.O.16S_000000000.J99GR	2019_A_30	32_30_2_O_16S	W32	eye	16S	2018-2019	30-O-2	30	30	2	Challenger	A	A_30	WARFSTERMOLEN	Wintertarwe_bladrammenas	Wheat	Clay	A_30	1054.123259	1.050572263	-0.704495584	High	High	982.4123846	0.982321605	-0.810355264	1060.082413	0.821051421	-0.396409141
S46.30.O.1.16S_000000000.J59B3	2019_A_30	46-30-O-1-16S	46	eye	16S	2018-2019	30-O-1	30	30	1	Challenger	A	A_30	WARFSTERMOLEN	Wintertarwe_bladrammenas	Wheat	Clay	A_30	1054.123259	1.050572263	-0.704495584	High	High	982.4123846	0.982321605	-0.810355264	1060.082413	0.821051421	-0.396409141
S122.30.O.4.16S_000000000.J58CV	2019_A_30	122-30-O-4-16S	122	eye	16S	2018-2019	30-O-4	30	30	4	Challenger	A	A_30	WARFSTERMOLEN	Wintertarwe_bladrammenas	Wheat	Clay	A_30	1054.123259	1.050572263	-0.704495584	High	High	982.4123846	0.982321605	-0.810355264	1060.082413	0.821051421	-0.396409141
S45.30.O.3.16S_000000000.J59B3	2019_A_30	45-30-O-3-16S	45	eye	16S	2018-2019	30-O-3	30	30	3	Challenger	A	A_30	WARFSTERMOLEN	Wintertarwe_bladrammenas	Wheat	Clay	A_30	1054.123259	1.050572263	-0.704495584	High	High	982.4123846	0.982321605	-0.810355264	1060.082413	0.821051421	-0.396409141
X2.6.4.O.16S_000000000.J99GR	2019_A_6	2_6_4_O_16S	W2	eye	16S	2018-2019	6-O-4	6	6	4	Challenger	A	A_6	FERWERT	Uien	Onion	Clay	A_6	923.8058925	-0.117890443	-1.17821357	Middle	Middle	896.94972	-0.059225568	-1.131300028	994.6863009	-0.445508171	-0.997708468
S25.6.O.1.16S_000000000.J59B3	2019_A_6	25-6-O-1-16S	25	eye	16S	2018-2019	6-O-1	6	6	1	Challenger	A	A_6	FERWERT	Uien	Onion	Clay	A_6	923.8058925	-0.117890443	-1.17821357	Middle	Middle	896.94972	-0.059225568	-1.131300028	994.6863009	-0.445508171	-0.997708468
S183.6.O.2.16S_000000000.J52V7	2019_A_6	183-6-O-2-16S	183	eye	16S	2018-2019	6-O-2	6	6	2	Challenger	A	A_6	FERWERT	Uien	Onion	Clay	A_6	923.8058925	-0.117890443	-1.17821357	Middle	Middle	896.94972	-0.059225568	-1.131300028	994.6863009	-0.445508171	-0.997708468
S187.6.O.3.16S_000000000.J52V7	2019_A_6	187-6-O-3-16S	187	eye	16S	2018-2019	6-O-3	6	6	3	Challenger	A	A_6	FERWERT	Uien	Onion	Clay	A_6	923.8058925	-0.117890443	-1.17821357	Middle	Middle	896.94972	-0.059225568	-1.131300028	994.6863009	-0.445508171	-0.997708468
S14.8.O.3.16S_000000000.J59B3	2019_A_8	14-8-O-3-16S	14	eye	16S	2018-2019	8-O-3	8	8	3	Challenger	A	A_8	ZUIDZANDE	Uien	Onion	Clay	A_8	669.6259613	-2.396940258	-2.102185624	Low	Low	826.496964	-0.917844582	-1.395876884	919.0872515	-1.9096732	-1.692821001
S22.8.O.4.16S_000000000.J59B3	2019_A_8	22-8-O-4-16S	22	eye	16S	2018-2019	8-O-4	8	8	4	Challenger	A	A_8	ZUIDZANDE	Uien	Onion	Clay	A_8	669.6259613	-2.396940258	-2.102185624	Low	Low	826.496964	-0.917844582	-1.395876884	919.0872515	-1.9096732	-1.692821001
S38.8.O.2.16S_000000000.J59B3	2019_A_8	38-8-O-2-16S	38	eye	16S	2018-2019	8-O-2	8	8	2	Challenger	A	A_8	ZUIDZANDE	Uien	Onion	Clay	A_8	669.6259613	-2.396940258	-2.102185624	Low	Low	826.496964	-0.917844582	-1.395876884	919.0872515	-1.9096732	-1.692821001
S64.8.O.1.16S_000000000.J53BN	2019_A_8	64-8-O-1-16S	64	eye	16S	2018-2019	8-O-1	8	8	1	Challenger	A	A_8	ZUIDZANDE	Uien	Onion	Clay	A_8	669.6259613	-2.396940258	-2.102185624	Low	Low	826.496964	-0.917844582	-1.395876884	919.0872515	-1.9096732	-1.692821001
X58.31.2.O.16S_000000000.JCCFG	2019_B_31	58-31-2-O-16S	X58	eye	16S	2018-2019	31-O-2	31	31	2	Colomba	B	B_31	CREIL	Suikerbieten	Sugar beet	Clay	B_31	1571.503755	-0.627749278	1.176239522	Low	Middle	1319.65876	-2.075243821	0.45613296	1217.017928	-0.11769207	1.046569894
S56.31.O.3.16S_000000000.J53BN	2019_B_31	56-31-O-3-16S	56	eye	16S	2018-2019	31-O-3	31	31	3	Colomba	B	B_31	CREIL	Suikerbieten	Sugar beet	Clay	B_31	1571.503755	-0.627749278	1.176239522	Low	Middle	1319.65876	-2.075243821	0.45613296	1217.017928	-0.11769207	1.046569894
S123.31.O.4.16S_000000000.J58CV	2019_B_31	123-31-O-4-16S	123	eye	16S	2018-2019	31-O-4	31	31	4	Colomba	B	B_31	CREIL	Suikerbieten	Sugar beet	Clay	B_31	1571.503755	-0.627749278	1.176239522	Low	Middle	1319.65876	-2.075243821	0.45613296	1217.017928	-0.11769207	1.046569894
S28.31.O.1.16S_000000000.J59B3	2019_B_31	28-31-O-1-16S	28	eye	16S	2018-2019	31-O-1	31	31	1	Colomba	B	B_31	CREIL	Suikerbieten	Sugar beet	Clay	B_31	1571.503755	-0.627749278	1.176239522	Low	Middle	1319.65876	-2.075243821	0.45613296	1217.017928	-0.11769207	1.046569894
X15.34.3.O.16S_000000000.J99GR	2019_B_34	15_34_3_O_16S	W15	eye	16S	2018-2019	34-O-3	34	34	3	Colomba	B	B_34	LUTTELGEEST	Witlof	Chicory	Clay	B_34	1634.77138	-0.016473538	1.406224311	Middle	Middle	1533.903169	-0.295162142	1.260702085	1209.368567	-0.188682779	0.976236113
S48.34.O.4.16S_000000000.J59B3	2019_B_34	48-34-O-4-16S	48	eye	16S	2018-2019	34-O-4	34	34	4	Colomba	B	B_34	LUTTELGEEST	Witlof	Chicory	Clay	B_34	1634.77138	-0.016473538	1.406224311	Middle	Middle	1533.903169	-0.295162142	1.260702085	1209.368567	-0.188682779	0.976236113
S124.34.O.2.16S_000000000.J58CV	2019_B_34	124-34-O-2-16S	124	eye	16S	2018-2019	34-O-2	34	34	2	Colomba	B	B_34	LUTTELGEEST	Witlof	Chicory	Clay	B_34	1634.77138	-0.016473538	1.406224311	Middle	Middle	1533.903169	-0.295162142	1.260702085	1209.368567	-0.188682779	0.976236113
S167.34.O.1.16S_000000000.J52V7	2019_B_34	167-34-O-1-16S	167	eye	16S	2018-2019	34-O-1	34	34	1	Colomba	B	B_34	LUTTELGEEST	Witlof	Chicory	Clay	B_34	1634.77138	-0.016473538	1.406224311	Middle	Middle	1533.903169	-0.295162142	1.260702085	1209.368567	-0.188682779	0.976236113
X48.38.3.O.16S_000000000.J99GR	2019_B_38	48_38_3_O_16S	W48	eye	16S	2018-2019	38-O-3	38	38	3	Colomba	B	B_38	MENALDUM	Wintertarwe	Wheat	Clay	B_38	1588.621553	-0.462361452	1.238464606	Middle	Middle	1701.054313	1.093638105	1.888418113	1333.169914	0.960268739	2.114555565
S77.38.O.4.16S_000000000.J53BN	2019_B_38	77-38-O-4-16S	77	eye	16S	2018-2019	38-O-4	38	38	4	Colomba	B	B_38	MENALDUM	Wintertarwe	Wheat	Clay	B_38	1588.621553	-0.462361452	1.238464606	Middle	Middle	1701.054313	1.093638105	1.888418113	1333.169914	0.960268739	2.114555565
S131.38.O.1.16S_000000000.J58CV	2019_B_38	131-38-O-1-16S	131	eye	16S	2018-2019	38-O-1	38	38	1	Colomba	B	B_38	MENALDUM	Wintertarwe	Wheat	Clay	B_38	1588.621553	-0.462361452	1.238464606	Middle	Middle	1701.054313	1.093638105	1.888418113	1333.169914	0.960268739	2.114555565
S4.38.O.2.16S_000000000.J59B3	2019_B_38	4-38-O-2-16S	4	eye	16S	2018-2019	38-O-2	38	38	2	Colomba	B	B_38	MENALDUM	Wintertarwe	Wheat	Clay	B_38	1588.621553	-0.462361452	1.238464606	Middle	Middle	1701.054313	1.093638105	1.888418113	1333.169914	0.960268739	2.114555565
X37.47.4.O.16S_000000000.J99GR	2019_B_47	37_47_4_O_16S	W37	eye	16S	2018-2019	47-O-4	47	47	4	Colomba	B	B_47	OUDE BILDTZIJL	Suikerbieten	Sugar beet	Clay	B_47	1552.852792	-0.80795015	1.108441216	Low	Middle	1569.506041	0.000649637	1.394404391	1253.319954	0.219212724	1.380357069
S94.47.O.3.16S_000000000.J53BN	2019_B_47	94-47-O-3-16S	94	eye	16S	2018-2019	47-O-3	47	47	3	Colomba	B	B_47	OUDE BILDTZIJL	Suikerbieten	Sugar beet	Clay	B_47	1552.852792	-0.80795015	1.108441216	Low	Middle	1569.506041	0.000649637	1.394404391	1253.319954	0.219212724	1.380357069
S172.47.O.2.16S_000000000.J52V7	2019_B_47	172-47-O-2-16S	172	eye	16S	2018-2019	47-O-2	47	47	2	Colomba	B	B_47	OUDE BILDTZIJL	Suikerbieten	Sugar beet	Clay	B_47	1552.852792	-0.80795015	1.108441216	Low	Middle	1569.506041	0.000649637	1.394404391	1253.319954	0.219212724	1.380357069
S50.47.O.1.16S_000000000.J53BN	2019_B_47	50-47-O-1-16S	50	eye	16S	2018-2019	47-O-1	47	47	1	Colomba	B	B_47	OUDE BILDTZIJL	Suikerbieten	Sugar beet	Clay	B_47	1552.852792	-0.80795015	1.108441216	Low	Middle	1569.506041	0.000649637	1.394404391	1253.319954	0.219212724	1.380357069
S119.50.O.2.16S_000000000.J58CV	2019_B_50	119-50-O-2-16S	119	eye	16S	2018-2019	50-O-2	50	50	2	Colomba	B	B_50	ZEERIJP	NA	Unknown	Clay	B_50	1835.583341	1.923720659	2.136197913	High	High	1825.544682	2.127984938	2.355926731	1253.590129	0.221720112	1.382841254
S130.50.O.1.16S_000000000.J58CV	2019_B_50	130-50-O-1-16S	130	eye	16S	2018-2019	50-O-1	50	50	1	Colomba	B	B_50	ZEERIJP	NA	Unknown	Clay	B_50	1835.583341	1.923720659	2.136197913	High	High	1825.544682	2.127984938	2.355926731	1253.590129	0.221720112	1.382841254
S145.50.O.4.16S_000000000.J52V7	2019_B_50	145-50-O-4-16S	145	eye	16S	2018-2019	50-O-4	50	50	4	Colomba	B	B_50	ZEERIJP	NA	Unknown	Clay	B_50	1835.583341	1.923720659	2.136197913	High	High	1825.544682	2.127984938	2.355926731	1253.590129	0.221720112	1.382841254
S165.50.O.3.16S_000000000.J52V7	2019_B_50	165-50-O-3-16S	165	eye	16S	2018-2019	50-O-3	50	50	3	Colomba	B	B_50	ZEERIJP	NA	Unknown	Clay	B_50	1835.583341	1.923720659	2.136197913	High	High	1825.544682	2.127984938	2.355926731	1253.590129	0.221720112	1.382841254
X4.51.4.O.16S_000000000.J99GR	2019_B_51	4_51_4_O_16S	W4	eye	16S	2018-2019	51-O-4	51	51	4	Colomba	B	B_51	MENALDUM	Wintertarwe	Wheat	Clay	B_51	1510.819165	-1.214068386	0.955644351	Low	Low	1448.567984	-1.004182275	0.940236056	1156.666426	-0.677790582	0.491654372
S95.51.O.3.16S_000000000.J53BN	2019_B_51	95-51-O-3-16S	95	eye	16S	2018-2019	51-O-3	51	51	3	Colomba	B	B_51	MENALDUM	Wintertarwe	Wheat	Clay	B_51	1510.819165	-1.214068386	0.955644351	Low	Low	1448.567984	-1.004182275	0.940236056	1156.666426	-0.677790582	0.491654372
