SampleID	Year_Plot	SampleName	LocationPlateDNAiso	SampleNoRand	Year	Compartment	LibraryType	PlateX	SampleName2	RunNo	Runcode	Replica	Seedlot	OriginalNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
X29.79.2.H.16S_000000000.JC8YT	2019_D_79	29-79-2-H-16S	C5	29	2018-2019	Heel	16S	A	79-2-H	SON5064	JC8YT	2	79	79	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
Heel2018.79.4.H.16S_000000000.JMHR7	2019_D_79	Heel2018-79-4-H-16S	A9	721	2018-2019	Heel	16S	C	79-4-H	SON5821	JMHR7	4	79	79	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
X122.80.2.H.16S_000000000.JCG3L	2019_D_80	122-80-2-H-16S	C2	122	2018-2019	Heel	16S	B	80-2-H	SON5194	JCG3L	2	80	80	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
X125.80.3.H.16S_000000000.JCG3L	2019_D_80	125-80-3-H-16S	C5	125	2018-2019	Heel	16S	B	80-3-H	SON5194	JCG3L	3	80	80	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
X155.80.4.H.16S_000000000.J9RYW	2019_D_80	155-80-4-H-16S	E11	155	2018-2019	Heel	16S	B	80-4-H	SON5195	J9RYW	4	80	80	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
X165.80.1.H.16S_000000000.J9RYW	2019_D_80	165-80-1-H-16S	F9	165	2018-2019	Heel	16S	B	80-1-H	SON5195	J9RYW	1	80	80	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
X175.86.4.H.16S_000000000.J9RYW	2019_D_86	175-86-4-H-16S	G7	175	2018-2019	Heel	16S	B	86-4-H	SON5195	J9RYW	4	86	86	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
Heel2018.86.2.H.16S_000000000.JMHR7	2019_D_86	Heel2018-86-2-H-16S	B12	736	2018-2019	Heel	16S	C	86-2-H	SON5821	JMHR7	2	86	86	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
X118.86.3.H.16S_000000000.JCG3L	2019_D_86	118-86-3-H-16S	B10	118	2018-2019	Heel	16S	B	86-3-H	SON5194	JCG3L	3	86	86	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
X162.86.1.H.16S_000000000.J9RYW	2019_D_86	162-86-1-H-16S	F6	162	2018-2019	Heel	16S	B	86-1-H	SON5195	J9RYW	1	86	86	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
X55.88.3.H.16S_000000000.JCHFT	2019_D_88	55-88-3-H-16S	E7	55	2018-2019	Heel	16S	A	88-3-H	SON5193	JCHFT	3	88	88	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
Heel2018.88.4.H.16S_000000000.JMHR7	2019_D_88	Heel2018-88-4-H-16S	B8	732	2018-2019	Heel	16S	C	88-4-H	SON5821	JMHR7	4	88	88	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
X70.88.2.H.16S_000000000.JCHFT	2019_D_88	70-88-2-H-16S	F10	70	2018-2019	Heel	16S	A	88-2-H	SON5193	JCHFT	2	88	88	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
X50.88.1.H.16S_000000000.JCHFT	2019_D_88	50-88-1-H-16S	E2	50	2018-2019	Heel	16S	A	88-1-H	SON5193	JCHFT	1	88	88	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
