SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,Variety,Plot,SoilType,M_52,M_52_method2
S23.51.O.2.16S_000000000.J59B3,23-51-O-2-16S,23,eye,16S,2018-2019,51-O-2,51,51,2,B,B_51,Clay,1510.819165,-1.214068386
S95.51.O.3.16S_000000000.J53BN,95-51-O-3-16S,95,eye,16S,2018-2019,51-O-3,51,51,3,B,B_51,Clay,1510.819165,-1.214068386
4.51.4.O.16S_000000000.J99GR,4_51_4_O_16S,W4,eye,16S,2018-2019,51-O-4,51,51,4,B,B_51,Clay,1510.819165,-1.214068386
S12.52.O.3.16S_000000000.J59B3,12-52-O-3-16S,12,eye,16S,2018-2019,52-O-3,52,52,3,B,B_52,Clay,1758.593919,1.179868406
S98.52.O.1.16S_000000000.J58CV,98-52-O-1-16S,98,eye,16S,2018-2019,52-O-1,52,52,1,B,B_52,Clay,1758.593919,1.179868406
S100.52.O.2.16S_000000000.J58CV,100-52-O-2-16S,100,eye,16S,2018-2019,52-O-2,52,52,2,B,B_52,Clay,1758.593919,1.179868406
S142.52.O.4.16S_000000000.J58CV,142-52-O-4-16S,142,eye,16S,2018-2019,52-O-4,52,52,4,B,B_52,Clay,1758.593919,1.179868406
S29.56.O.3.16S_000000000.J59B3,29-56-O-3-16S,29,eye,16S,2018-2019,56-O-3,56,56,3,B,B_56,Clay,1792.234477,1.504894937
S72.56.O.2.16S_000000000.J53BN,72-56-O-2-16S,72,eye,16S,2018-2019,56-O-2,56,56,2,B,B_56,Clay,1792.234477,1.504894937
S97.56.O.1.16S_000000000.J58CV,97-56-O-1-16S,97,eye,16S,2018-2019,56-O-1,56,56,1,B,B_56,Clay,1792.234477,1.504894937
S117.56.O.4.16S_000000000.J58CV,117-56-O-4-16S,117,eye,16S,2018-2019,56-O-4,56,56,4,B,B_56,Clay,1792.234477,1.504894937
S60.58.O.3.16S_000000000.J53BN,60-58-O-3-16S,60,eye,16S,2018-2019,58-O-3,58,58,3,B,B_58,Clay,1484.146501,-1.471772896
S118.58.O.2.16S_000000000.J58CV,118-58-O-2-16S,118,eye,16S,2018-2019,58-O-2,58,58,2,B,B_58,Clay,1484.146501,-1.471772896
S121.58.O.4.16S_000000000.J58CV,121-58-O-4-16S,121,eye,16S,2018-2019,58-O-4,58,58,4,B,B_58,Clay,1484.146501,-1.471772896
S192.58.O.1.16S_000000000.J52V7,192-58-O-1-16S,192,eye,16S,2018-2019,58-O-1,58,58,1,B,B_58,Clay,1484.146501,-1.471772896
