"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"S67.88.O.2.16S_000000000.J53BN" 1.778801556 -0.0794320923079667 "H" "M" "A"
"S152.88.O.3.16S_000000000.J52V7" 1.778801556 -0.0420639710172333 "H" "M" "E"
"S190.88.O.1.16S_000000000.J52V7" 1.778801556 -0.0841363720561166 "H" "M" "B"
"S113.89.O.4.16S_000000000.J58CV" -2.114932115 -0.305854409544067 "L" "L" "B"
"S182.89.O.2.16S_000000000.J52V7" -2.114932115 -0.0869036040810502 "L" "M" "F"
"S66.89.O.3.16S_000000000.J53BN" -2.114932115 0.0210651243286667 "L" "M" "E"
"S30.100.O.1.16S_000000000.J59B3" 1.988953313 -0.261982833959083 "H" "L" "A"
"S32.100.O.4.16S_000000000.J59B3" 1.988953313 0.00983685414716668 "H" "M" "A"
"S58.100.O.3.16S_000000000.J53BN" 1.988953313 0.115838138787683 "H" "H" "D"
"S63.100.O.2.16S_000000000.J53BN" 1.988953313 0.1066430616876 "H" "M" "D"
"X43.103.3.O.16S_000000000.J99GR" 0.258089341 -0.2903302722191 "M" "L" "C"
"S184.103.O.4.16S_000000000.J52V7" 0.258089341 -0.242740221087234 "M" "L" "D"
"S11.103.O.1.16S_000000000.J59B3" 0.258089341 -0.1880779432256 "M" "L" "B"
"S10.104.O.1.16S_000000000.J59B3" 1.056007466 0.19374829168905 "H" "H" "C"
"S154.104.O.2.16S_000000000.J52V7" 1.056007466 0.0646633758885834 "H" "M" "F"
"S26.104.O.3.16S_000000000.J59B3" 1.056007466 -0.0138579567035833 "H" "M" "C"
"X68.107.3.O.16S_000000000.JCCFG" -1.196922352 -0.38483018041095 "L" "L" "B"
"S178.107.O.4.16S_000000000.J52V7" -1.196922352 -0.281311926705317 "L" "L" "A"
"S171.107.O.1.16S_000000000.J52V7" -1.196922352 -0.14728476008385 "L" "L" "D"
"S174.107.O.2.16S_000000000.J52V7" -1.196922352 -0.408822911828116 "L" "L" "C"
"X53.115.4.O.16S_000000000.JCCFG" 0.251695855 0.134063896429483 "M" "H" "E"
"S163.115.O.2.16S_000000000.J52V7" 0.251695855 -0.06573709073315 "M" "M" "C"
"S99.117.O.4.16S_000000000.J58CV" 1.685173424 -0.0575854854195334 "H" "M" "A"
"S169.117.O.3.16S_000000000.J52V7" 1.685173424 0.00467006772148332 "H" "M" "C"
"S161.91.O.1.16S_000000000.J52V7" -1.306372689 0.153253751664083 "L" "H" "C"
"S176.91.O.3.16S_000000000.J52V7" -1.306372689 -0.0817168153205168 "L" "M" "D"
"S181.91.O.4.16S_000000000.J52V7" -1.306372689 -0.0527745035823833 "L" "M" "A"
"S188.91.O.2.16S_000000000.J52V7" -1.306372689 0.0647084432806 "L" "M" "C"
"S114.96.O.1.16S_000000000.J58CV" -1.450637491 -0.247798293201116 "L" "L" "A"
"S157.96.O.3.16S_000000000.J52V7" -1.450637491 -0.0923145577731334 "L" "M" "C"
"S83.96.O.4.16S_000000000.J53BN" -1.450637491 -0.176545729497567 "L" "L" "B"
"S125.98.O.2.16S_000000000.J58CV" -1.485975546 -0.0445259372241666 "L" "M" "B"
"S5.98.O.1.16S_000000000.J59B3" -1.485975546 -0.138603674544683 "L" "L" "C"
"S6.98.O.4.16S_000000000.J59B3" -1.485975546 -0.242897409872933 "L" "L" "B"
"X38.122.4.O.16S_000000000.J99GR" -1.500772045 0.108595172058683 "L" "M" "B"
"X56.122.2.O.16S_000000000.JCCFG" -1.500772045 -0.193096379893733 "L" "L" "E"
"S143.125.O.4.16S_000000000.J58CV" -0.172616263 -0.08811642989925 "M" "M" "B"
"S149.125.O.1.16S_000000000.J52V7" -0.172616263 0.05500819390065 "M" "M" "F"
"S21.125.O.3.16S_000000000.J59B3" -0.172616263 0.134727684477233 "M" "H" "C"
"S74.125.O.2.16S_000000000.J53BN" -0.172616263 0.00887181171338336 "M" "M" "D"
"R17.137.O.2.16S_000000000.JCCFG" -1.420082295 -0.314227194792 "L" "L" "C"
"S53.137.O.4.16S_000000000.J53BN" -1.420082295 -0.11551771700285 "L" "L" "C"
"S27.139.O.4.16S_000000000.J59B3" 0.242317369 0.17254638764245 "M" "H" "C"
"S41.139.O.2.16S_000000000.J59B3" 0.242317369 0.270068567310083 "M" "H" "C"
"X18.181.2.O.16S_000000000.J99GR" 0.85611705 -0.156992239192233 "H" "L" "A"
"X42.181.4.O.16S_000000000.J99GR" 0.85611705 0.437653529099616 "H" "H" "B"
"X59.181.3.O.16S_000000000.JCCFG" 0.85611705 -0.10057931158155 "H" "M" "F"
"X63.181.1.O.16S_000000000.JCCFG" 0.85611705 0.68250266789245 "H" "H" "D"
"R18.149.O.3.16S_000000000.JCCFG" 1.613763835 0.0204341116185667 "H" "M" "C"
"S140.149.O.2.16S_000000000.J58CV" 1.613763835 0.585269233559816 "H" "H" "F"
"S19.149.O.4.16S_000000000.J59B3" 1.613763835 0.433702082115766 "H" "H" "E"
