"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"S191.157.O.2.16S_000000000.J52V7" -1.622358826 -0.446925317847317 "L" "L" "B"
"S87.157.O.1.16S_000000000.J53BN" -1.622358826 -0.627863081504617 "L" "L" "A"
"S135.180.O.2.16S_000000000.J58CV" 0.040333064 0.429448400834182 "M" "H" "A"
"S84.180.O.4.16S_000000000.J53BN" 0.040333064 0.332981816558833 "M" "H" "E"
"X24.63.3.O.16S_000000000.J99GR" -2.140647582 -0.358217490111618 "L" "L" "F"
"S34.63.O.4.16S_000000000.J59B3" -2.140647582 -0.0265483286171667 "L" "M" "B"
"S57.63.O.2.16S_000000000.J53BN" -2.140647582 -0.104604318164167 "L" "L" "B"
"S144.65.O.2.16S_000000000.J58CV" -1.755548229 -0.184584313291783 "L" "L" "A"
"S147.65.O.4.16S_000000000.J52V7" -1.755548229 -0.119006633082733 "L" "L" "E"
"S155.65.O.1.16S_000000000.J52V7" -1.755548229 -0.124934909486967 "L" "L" "A"
"S186.75.O.1.16S_000000000.J52V7" 1.157602798 0.125184251988967 "H" "H" "E"
"S107.75.O.3.16S_000000000.J58CV" 1.157602798 0.0819823416304501 "H" "M" "D"
"S179.75.O.4.16S_000000000.J52V7" 1.157602798 0.0980464025728833 "H" "M" "D"
"S102.76.O.4.16S_000000000.J58CV" 0.551056493 0.0756675692492667 "M" "M" "A"
"S104.76.O.3.16S_000000000.J58CV" 0.551056493 -0.05013075654955 "M" "M" "B"
"S106.76.O.2.16S_000000000.J58CV" 0.551056493 -0.0154038357965667 "M" "M" "F"
"S35.76.O.1.16S_000000000.J59B3" 0.551056493 0.0887611705636166 "M" "M" "F"
"S71.77.O.4.16S_000000000.J53BN" 1.582537334 0.0102491636609167 "H" "M" "A"
"S8.77.O.1.16S_000000000.J59B3" 1.582537334 0.104867374107983 "H" "M" "B"
"S126.76.O.3.16S_000000000.J58CV" -0.448221768 -0.1262683469165 "L" "L" "D"
"S132.76.O.4.16S_000000000.J58CV" -0.448221768 -0.1319993360669 "L" "L" "E"
"S151.76.O.2.16S_000000000.J52V7" -0.448221768 -0.0620956257018833 "L" "M" "C"
"S110.80.O.1.16S_000000000.J58CV" 2.094549188 0.0466292772925999 "H" "M" "F"
"S16.80.O.4.16S_000000000.J59B3" 2.094549188 0.10975620153615 "H" "H" "C"
"S49.80.O.2.16S_000000000.J53BN" 2.094549188 0.0775069392033999 "H" "M" "F"
"S88.80.O.3.16S_000000000.J53BN" 2.094549188 0.0928197179519335 "H" "M" "B"
"S20.86.O.3.16S_000000000.J59B3" 0.121732604 -0.0650163739440666 "M" "M" "D"
"X40.88.4.O.16S_000000000.J99GR" 1.190773715 -0.01813990691315 "H" "M" "E"
"S67.88.O.2.16S_000000000.J53BN" 1.190773715 -0.0794320923079667 "H" "M" "A"
"S152.88.O.3.16S_000000000.J52V7" 1.190773715 -0.0420639710172333 "H" "M" "E"
"S190.88.O.1.16S_000000000.J52V7" 1.190773715 -0.0841363720561166 "H" "M" "B"
"S113.89.O.4.16S_000000000.J58CV" -1.191000312 -0.305854409544067 "L" "L" "B"
"S182.89.O.2.16S_000000000.J52V7" -1.191000312 -0.0869036040810502 "L" "M" "F"
"S66.89.O.3.16S_000000000.J53BN" -1.191000312 0.0210651243286667 "L" "M" "E"
"S30.100.O.1.16S_000000000.J59B3" 0.691510827 -0.261982833959083 "H" "L" "A"
"S32.100.O.4.16S_000000000.J59B3" 0.691510827 0.00983685414716668 "H" "M" "A"
"S58.100.O.3.16S_000000000.J53BN" 0.691510827 0.115838138787683 "H" "H" "D"
"S63.100.O.2.16S_000000000.J53BN" 0.691510827 0.1066430616876 "H" "M" "D"
"X43.103.3.O.16S_000000000.J99GR" 0.036756049 -0.2903302722191 "M" "L" "C"
"S184.103.O.4.16S_000000000.J52V7" 0.036756049 -0.242740221087234 "M" "L" "D"
"S11.103.O.1.16S_000000000.J59B3" 0.036756049 -0.1880779432256 "M" "L" "B"
"S10.104.O.1.16S_000000000.J59B3" 2.002041256 0.19374829168905 "H" "H" "C"
"S154.104.O.2.16S_000000000.J52V7" 2.002041256 0.0646633758885834 "H" "M" "F"
"S26.104.O.3.16S_000000000.J59B3" 2.002041256 -0.0138579567035833 "H" "M" "C"
"X68.107.3.O.16S_000000000.JCCFG" -2.91289891 -0.38483018041095 "L" "L" "B"
"S178.107.O.4.16S_000000000.J52V7" -2.91289891 -0.281311926705317 "L" "L" "A"
"S171.107.O.1.16S_000000000.J52V7" -2.91289891 -0.14728476008385 "L" "L" "D"
"S174.107.O.2.16S_000000000.J52V7" -2.91289891 -0.408822911828116 "L" "L" "C"
"X53.115.4.O.16S_000000000.JCCFG" 0.619137935 0.134063896429483 "H" "H" "E"
"S163.115.O.2.16S_000000000.J52V7" 0.619137935 -0.06573709073315 "H" "M" "C"
"S99.117.O.4.16S_000000000.J58CV" 0.628909597 -0.0575854854195334 "H" "M" "A"
"S169.117.O.3.16S_000000000.J52V7" 0.628909597 0.00467006772148332 "H" "M" "C"
"S161.91.O.1.16S_000000000.J52V7" 0.043197241 0.153253751664083 "M" "H" "C"
"S176.91.O.3.16S_000000000.J52V7" 0.043197241 -0.0817168153205168 "M" "M" "D"
"S181.91.O.4.16S_000000000.J52V7" 0.043197241 -0.0527745035823833 "M" "M" "A"
"S188.91.O.2.16S_000000000.J52V7" 0.043197241 0.0647084432806 "M" "M" "C"
"S114.96.O.1.16S_000000000.J58CV" 0.069636936 -0.247798293201116 "M" "L" "A"
"S157.96.O.3.16S_000000000.J52V7" 0.069636936 -0.0923145577731334 "M" "M" "C"
"S83.96.O.4.16S_000000000.J53BN" 0.069636936 -0.176545729497567 "M" "L" "B"
"S125.98.O.2.16S_000000000.J58CV" 0.105311775 -0.0445259372241666 "M" "M" "B"
"S5.98.O.1.16S_000000000.J59B3" 0.105311775 -0.138603674544683 "M" "L" "C"
