,Variety,Batch,47,47_method2,47_method1
119,SAGITTA,100,1034.97448655504,-0.5796200947712388,0.2649023601293445
120,SAGITTA,101,842.488994978843,-2.8455478247074972,-0.6198707113478384
121,SAGITTA,102,1175.38018120722,1.0732273710202076,0.9102869898645187
122,SAGITTA,103,1089.50614700405,0.06232336059805223,0.5155609646461535
123,SAGITTA,104,1233.74261954383,1.760266515273162,1.1785540338019005
124,SAGITTA,105,1191.55359051785,1.2636197810895056,0.9846292008792075
125,SAGITTA,106,993.103653608578,-1.072521043679168,0.07244013781850571
126,SAGITTA,107,1125.16756856555,0.48212748891679286,0.6794811917232202
127,SAGITTA,108,1046.66938746573,-0.4419484185561015,0.3186587929630191
128,SAGITTA,109,952.608188466773,-1.5492312447966348,-0.1137001098490894
129,SAGITTA,110,1114.59418759396,0.35765827855439997,0.6308799040026396
130,SAGITTA,111,1148.272986183,0.7541230874547354,0.7856868654379153
131,SAGITTA,112,1140.00883860036,0.6568380348596043,0.7477001310614245
132,SAGITTA,113,1086.79336995025,0.03038871086936426,0.5030914945241766
133,SAGITTA,114,1144.29176299857,0.7072563655070497,0.7673868936515745
134,SAGITTA,115,1060.95403283814,-0.27379042495045874,0.3843191679742249
135,SAGITTA,116,1152.36299336791,0.8022704081698505,0.8044868705173835
136,SAGITTA,117,1029.23520444142,-0.6471825816095295,0.23852134708695907
137,SAGITTA,118,1104.28831515649,0.23633816270553903,0.5835082380340239
138,SAGITTA,119,1017.08248600995,-0.7902436583820317,0.18266052388744752
139,SAGITTA,120,1109.84727328468,0.3017778863391219,0.6090603792214799
140,SAGITTA,91,1145.80339699031,0.7250512307270179,0.7743352253874841
141,SAGITTA,92,1115.96087843727,0.37374688167324865,0.6371619943840666
142,SAGITTA,93,1107.33098506503,0.2721562914504499,0.5974940838160918
143,SAGITTA,94,993.09819433403,-1.072585309933639,0.07241504387989081
144,SAGITTA,95,1220.02917966449,1.598832718673954,1.115519244929211
145,SAGITTA,96,1046.95538247852,-0.43858170231791843,0.31997338911164963
146,SAGITTA,97,1131.83481358097,0.5606138997055188,0.7101276513720962
147,SAGITTA,98,1032.14880267572,-0.6128838769179071,0.2519139058595856
148,SAGITTA,99,940.269606759869,-1.6944802929654956,-0.1704152666388055
149,SERESTA,121,887.697614439387,0.22286556417049372,-0.41206611906502416
150,SERESTA,122,857.543124747232,-0.2467687046627978,-0.55067334730484
151,SERESTA,123,921.064161057444,0.7425252859710533,-0.25869444572953826
152,SERESTA,124,889.047400436287,0.2438875004130578,-0.40586173299657424
153,SERESTA,125,880.954172394315,0.11784135362711375,-0.44306282370852657
154,SERESTA,126,914.421599722614,0.6390722191968948,-0.2892274451081777
155,SERESTA,127,934.866256531824,0.9574828953569631,-0.19525214519202286
156,SERESTA,128,764.06150307572,-1.702677045054062,-0.980368182254155
157,SERESTA,129,821.516311252043,-0.8078601503127034,-0.7162731240498619
158,SERESTA,130,713.874268940786,-2.4843067542066857,-1.2110573263080706
159,SERESTA,131,723.111375578889,-2.3404455293473827,-1.1685983173467567
160,SERESTA,132,847.054190180251,-0.4101262400246348,-0.5988864711998287
161,SERESTA,133,964.333565913645,1.4164148301134711,-0.05980358947788264
162,SERESTA,134,830.091024113881,-0.674315227270204,-0.6768588545707515
163,SERESTA,135,906.721398557081,0.5191471804659236,-0.3246219601982872
164,SERESTA,136,941.666668457402,1.0633943703989335,-0.163993574494387
165,SERESTA,137,851.11426571331,-0.34689351336130897,-0.5802240490588229
166,SERESTA,138,942.686148699941,1.0792720344941524,-0.15930746200811455
167,SERESTA,139,942.1558003764,1.0710122446686277,-0.16174524529936288
168,SERESTA,140,889.944459372099,0.2578585415986769,-0.40173833863871833
169,SERESTA,141,907.094163804096,0.5249527283632863,-0.3229085185781388
170,SERESTA,142,863.323293190137,-0.15674678062661873,-0.5241043973803206
171,SERESTA,143,934.158156450708,0.946454751049079,-0.19850697691233568
172,SERESTA,144,889.592806118009,0.2523817976526375,-0.4033547375016582
173,SERESTA,145,756.020734591485,-1.82790617234166,-1.017328138927135
174,SERESTA,146,859.566087747504,-0.21526252567557122,-0.541374655893977
175,SERESTA,147,880.21578605229,0.1063415228094287,-0.44645686835272597
176,SERESTA,148,949.841866647346,1.1907171426858227,-0.12641570224426912
177,SERESTA,149,852.942221253119,-0.3184244338921485,-0.5718217231264278
178,SERESTA,150,884.952417335268,0.18011111374012825,-0.42468461022366905
