SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,VarietyFullName,Variety,Year_Plot,Plot,Location,PreCrop,PreCrop_clean,SoilType
S46.30.O.1.16S_000000000.J59B3,46-30-O-1-16S,46,eye,16S,2018-2019,30-O-1,30,30,1,Challenger,A,2019_A_30,A_30,WARFSTERMOLEN,Wintertarwe_bladrammenas,Wheat,Clay
HeelEye2019.4.12.E.16S_000000000.JMM89,HeelEye2019-4-12-E-16S,240,Eye,16S,2019-2020,4-12-E,4,4,12,Challenger,A,2020_A_4,A_4,OUDESCHIP,NA,Unknown,Clay
HeelEye2019.4.34.E.16S_000000000.JKRF4,HeelEye2019-4-34-E-16S,160,Eye,16S,2019-2020,4-34-E,4,4,34,Challenger,A,2020_A_4,A_4,OUDESCHIP,NA,Unknown,Clay
HeelEye2019.5.12.E.16S_000000000.JK6WL,HeelEye2019-5-12-E-16S,697,Eye,16S,2019-2020,5-12-E,5,5,12,Challenger,A,2020_A_5,A_5,KLOOSTERBUREN,Suikerbieten,Sugar beet,Clay
HeelEye2019.5.34.E.16S_000000000.JK6WL,HeelEye2019-5-34-E-16S,705,Eye,16S,2019-2020,5-34-E,5,5,34,Challenger,A,2020_A_5,A_5,KLOOSTERBUREN,Suikerbieten,Sugar beet,Clay
X2.6.4.O.16S_000000000.J99GR,2_6_4_O_16S,W2,eye,16S,2018-2019,6-O-4,6,6,4,Challenger,A,2019_A_6,A_6,FERWERT,Uien,Onion,Clay
HeelEye2019.6.12.E.16S_000000000.JH6L7,HeelEye2019-6-12-E-16S,76,Eye,16S,2019-2020,6-12-E,6,6,12,Challenger,A,2020_A_6,A_6,HOUWERZIJL,Wintertarwe en groenbemester,Wheat,Clay
HeelEye2019.6.34.E.16S_000000000.JKP3P,HeelEye2019-6-34-E-16S,140,Eye,16S,2019-2020,6-34-E,6,6,34,Challenger,A,2020_A_6,A_6,HOUWERZIJL,Wintertarwe en groenbemester,Wheat,Clay
S183.6.O.2.16S_000000000.J52V7,183-6-O-2-16S,183,eye,16S,2018-2019,6-O-2,6,6,2,Challenger,A,2019_A_6,A_6,FERWERT,Uien,Onion,Clay
S187.6.O.3.16S_000000000.J52V7,187-6-O-3-16S,187,eye,16S,2018-2019,6-O-3,6,6,3,Challenger,A,2019_A_6,A_6,FERWERT,Uien,Onion,Clay
S25.6.O.1.16S_000000000.J59B3,25-6-O-1-16S,25,eye,16S,2018-2019,6-O-1,6,6,1,Challenger,A,2019_A_6,A_6,FERWERT,Uien,Onion,Clay
HeelEye2019.7.12.E.16S_000000000.JMMDW,HeelEye2019-7-12-E-16S,463,Eye,16S,2019-2020,7-12-E,7,7,12,Challenger,A,2020_A_7,A_7,HOUWERZIJL,Wintertarwe,Wheat,Clay
HeelEye2019.7.34.E.16S_000000000.JLB35,HeelEye2019-7-34-E-16S,528,Eye,16S,2019-2020,7-34-E,7,7,34,Challenger,A,2020_A_7,A_7,HOUWERZIJL,Wintertarwe,Wheat,Clay
HeelEye2019.8.12.E.16S_000000000.JLHG5,HeelEye2019-8-12-E-16S,305,Eye,16S,2019-2020,8-12-E,8,8,12,Challenger,A,2020_A_8,A_8,EZINGE,Graszaad,Grass,Clay
HeelEye2019.8.34.E.16S_000000000.JH6L7,HeelEye2019-8-34-E-16S,82,Eye,16S,2019-2020,8-34-E,8,8,34,Challenger,A,2020_A_8,A_8,EZINGE,Graszaad,Grass,Clay
S14.8.O.3.16S_000000000.J59B3,14-8-O-3-16S,14,eye,16S,2018-2019,8-O-3,8,8,3,Challenger,A,2019_A_8,A_8,ZUIDZANDE,Uien,Onion,Clay
S22.8.O.4.16S_000000000.J59B3,22-8-O-4-16S,22,eye,16S,2018-2019,8-O-4,8,8,4,Challenger,A,2019_A_8,A_8,ZUIDZANDE,Uien,Onion,Clay
S38.8.O.2.16S_000000000.J59B3,38-8-O-2-16S,38,eye,16S,2018-2019,8-O-2,8,8,2,Challenger,A,2019_A_8,A_8,ZUIDZANDE,Uien,Onion,Clay
S64.8.O.1.16S_000000000.J53BN,64-8-O-1-16S,64,eye,16S,2018-2019,8-O-1,8,8,1,Challenger,A,2019_A_8,A_8,ZUIDZANDE,Uien,Onion,Clay
HeelEye2019.9.12.E.16S_000000000.JMHTR,HeelEye2019-9-12-E-16S,670,Eye,16S,2019-2020,9-12-E,9,9,12,Challenger,A,2020_A_9,A_9,WARFFUM,Wintergerst,Barley,Clay
HeelEye2019.9.34.E.16S_000000000.JMM89,HeelEye2019-9-34-E-16S,239,Eye,16S,2019-2020,9-34-E,9,9,34,Challenger,A,2020_A_9,A_9,WARFFUM,Wintergerst,Barley,Clay
X58.31.2.O.16S_000000000.JCCFG,58-31-2-O-16S,X58,eye,16S,2018-2019,31-O-2,31,31,2,Colomba,B,2019_B_31,B_31,CREIL,Suikerbieten,Sugar beet,Clay
HeelEye2019.31.12.E.16S_000000000.JMHTR,HeelEye2019-31-12-E-16S,657,Eye,16S,2019-2020,31-12-E,31,31,12,Colomba,B,2020_B_31,B_31,EENUM,Oud grasland,Grass,Clay
HeelEye2019.31.34.E.16S_000000000.JLBCC,HeelEye2019-31-34-E-16S,603,Eye,16S,2019-2020,31-34-E,31,31,34,Colomba,B,2020_B_31,B_31,EENUM,Oud grasland,Grass,Clay
S123.31.O.4.16S_000000000.J58CV,123-31-O-4-16S,123,eye,16S,2018-2019,31-O-4,31,31,4,Colomba,B,2019_B_31,B_31,CREIL,Suikerbieten,Sugar beet,Clay
S28.31.O.1.16S_000000000.J59B3,28-31-O-1-16S,28,eye,16S,2018-2019,31-O-1,31,31,1,Colomba,B,2019_B_31,B_31,CREIL,Suikerbieten,Sugar beet,Clay
S56.31.O.3.16S_000000000.J53BN,56-31-O-3-16S,56,eye,16S,2018-2019,31-O-3,31,31,3,Colomba,B,2019_B_31,B_31,CREIL,Suikerbieten,Sugar beet,Clay
HeelEye2019.33.12.E.16S_000000000.JLBMN,HeelEye2019-33-12-E-16S,431,Eye,16S,2019-2020,33-12-E,33,33,12,Colomba,B,2020_B_33,B_33,STARTENHUIZEN,Grasland,Grass,Clay
HeelEye2019.33.34.E.16S_000000000.JMLN7,HeelEye2019-33-34-E-16S,531,Eye,16S,2019-2020,33-34-E,33,33,34,Colomba,B,2020_B_33,B_33,STARTENHUIZEN,Grasland,Grass,Clay
X15.34.3.O.16S_000000000.J99GR,15_34_3_O_16S,W15,eye,16S,2018-2019,34-O-3,34,34,3,Colomba,B,2019_B_34,B_34,LUTTELGEEST,Witlof,Chicory,Clay
HeelEye2019.34.12.E.16S_000000000.JKP3P,HeelEye2019-34-12-E-16S,111,Eye,16S,2019-2020,34-12-E,34,34,12,Colomba,B,2020_B_34,B_34,ZEERIJP,Grasland,Grass,Clay
HeelEye2019.34.34.E.16S_000000000.JKP3P,HeelEye2019-34-34-E-16S,139,Eye,16S,2019-2020,34-34-E,34,34,34,Colomba,B,2020_B_34,B_34,ZEERIJP,Grasland,Grass,Clay
S124.34.O.2.16S_000000000.J58CV,124-34-O-2-16S,124,eye,16S,2018-2019,34-O-2,34,34,2,Colomba,B,2019_B_34,B_34,LUTTELGEEST,Witlof,Chicory,Clay
S167.34.O.1.16S_000000000.J52V7,167-34-O-1-16S,167,eye,16S,2018-2019,34-O-1,34,34,1,Colomba,B,2019_B_34,B_34,LUTTELGEEST,Witlof,Chicory,Clay
S48.34.O.4.16S_000000000.J59B3,48-34-O-4-16S,48,eye,16S,2018-2019,34-O-4,34,34,4,Colomba,B,2019_B_34,B_34,LUTTELGEEST,Witlof,Chicory,Clay
HeelEye2019.35.12.E.16S_000000000.JMMDW,HeelEye2019-35-12-E-16S,447,Eye,16S,2019-2020,35-12-E,35,35,12,Colomba,B,2020_B_35,B_35,PIETERZIJL,NA,Unknown,Clay
HeelEye2019.35.34.E.16S_000000000.JH6L7,HeelEye2019-35-34-E-16S,52,Eye,16S,2019-2020,35-34-E,35,35,34,Colomba,B,2020_B_35,B_35,PIETERZIJL,NA,Unknown,Clay
HeelEye2019.36.12.E.16S_000000000.JMHTR,HeelEye2019-36-12-E-16S,666,Eye,16S,2019-2020,36-12-E,36,36,12,Colomba,B,2020_B_36,B_36,HOUWERZIJL,Wintertarwe en groenbemester,Wheat,Clay
HeelEye2019.36.34.E.16S_000000000.JMHTR,HeelEye2019-36-34-E-16S,662,Eye,16S,2019-2020,36-34-E,36,36,34,Colomba,B,2020_B_36,B_36,HOUWERZIJL,Wintertarwe en groenbemester,Wheat,Clay
HeelEye2019.37.12.E.16S_000000000.JMHTR,HeelEye2019-37-12-E-16S,648,Eye,16S,2019-2020,37-12-E,37,37,12,Colomba,B,2020_B_37,B_37,MENSINGEWEER,Grasland,Grass,Clay
HeelEye2019.37.34.E.16S_000000000.JK6WL,HeelEye2019-37-34-E-16S,706,Eye,16S,2019-2020,37-34-E,37,37,34,Colomba,B,2020_B_37,B_37,MENSINGEWEER,Grasland,Grass,Clay
X48.38.3.O.16S_000000000.J99GR,48_38_3_O_16S,W48,eye,16S,2018-2019,38-O-3,38,38,3,Colomba,B,2019_B_38,B_38,MENALDUM,Wintertarwe,Wheat,Clay
HeelEye2019.38.12.E.16S_000000000.JMM89,HeelEye2019-38-12-E-16S,233,Eye,16S,2019-2020,38-12-E,38,38,12,Colomba,B,2020_B_38,B_38,NES,NA,Unknown,Clay
HeelEye2019.38.34.E.16S_000000000.JKP74,HeelEye2019-38-34-E-16S,262,Eye,16S,2019-2020,38-34-E,38,38,34,Colomba,B,2020_B_38,B_38,NES,NA,Unknown,Clay
S131.38.O.1.16S_000000000.J58CV,131-38-O-1-16S,131,eye,16S,2018-2019,38-O-1,38,38,1,Colomba,B,2019_B_38,B_38,MENALDUM,Wintertarwe,Wheat,Clay
S4.38.O.2.16S_000000000.J59B3,4-38-O-2-16S,4,eye,16S,2018-2019,38-O-2,38,38,2,Colomba,B,2019_B_38,B_38,MENALDUM,Wintertarwe,Wheat,Clay
S77.38.O.4.16S_000000000.J53BN,77-38-O-4-16S,77,eye,16S,2018-2019,38-O-4,38,38,4,Colomba,B,2019_B_38,B_38,MENALDUM,Wintertarwe,Wheat,Clay
HeelEye2019.39.12.E.16S_000000000.JLBCC,HeelEye2019-39-12-E-16S,609,Eye,16S,2019-2020,39-12-E,39,39,12,Colomba,B,2020_B_39,B_39,NES,NA,Unknown,Clay
HeelEye2019.39.34.E.16S_000000000.JMHTR,HeelEye2019-39-34-E-16S,671,Eye,16S,2019-2020,39-34-E,39,39,34,Colomba,B,2020_B_39,B_39,NES,NA,Unknown,Clay
HeelEye2019.40.12.E.16S_000000000.JMM89,HeelEye2019-40-12-E-16S,201,Eye,16S,2019-2020,40-12-E,40,40,12,Colomba,B,2020_B_40,B_40,MARRUM,Wintertarwe gras groenbemester,Wheat,Clay
HeelEye2019.40.34.E.16S_000000000.JKP3P,HeelEye2019-40-34-E-16S,106,Eye,16S,2019-2020,40-34-E,40,40,34,Colomba,B,2020_B_40,B_40,MARRUM,Wintertarwe gras groenbemester,Wheat,Clay
