,Variety,Batch,49,49_method2,49_method1
38,COLOMBA,40,802.4506419513,0.11183964974333929,1.4473645719020873
39,COLOMBA,41,647.149295966443,-1.7773856776879418,-0.6670885377066335
40,COLOMBA,42,972.87056316852,2.1849809314281043,3.7676595446974956
41,COLOMBA,43,768.896900808349,-0.29633825235621586,0.9905249234830916
42,COLOMBA,44,752.566837462546,-0.4949918382334198,0.7681884523941206
43,COLOMBA,45,864.746992586627,0.8696685190325688,2.295539528035348
44,COLOMBA,46,874.186500004141,0.984499181822714,2.424059958335309
45,COLOMBA,47,849.337075953258,0.6822084258006403,2.0857310042417723
46,COLOMBA,48,793.170973101679,-0.001046592869062041,1.3210203697267018
47,COLOMBA,49,743.861547238984,-0.6008908223581088,0.6496645087249406
48,COLOMBA,50,752.610204115244,-0.4944642872445772,0.768778896430964
49,COLOMBA,51,576.942506685956,-2.6314442412193872,-1.6229654038623509
50,COLOMBA,52,701.778243402058,-1.1128300007761691,0.07669347556162662
51,COLOMBA,53,785.116459266154,-0.0990289473793906,1.2113568525310887
52,COLOMBA,54,793.858667878274,0.00731914524638299,1.3303834460710287
53,COLOMBA,55,753.627635797439,-0.4820873326808912,0.7826313944282541
54,COLOMBA,56,705.063545053015,-1.072864635068103,0.12142339240694468
55,COLOMBA,57,814.527963037247,0.25875905175107045,1.6117992647502333
56,COLOMBA,58,826.075606699292,0.3992349809205064,1.7690223132371758
57,COLOMBA,59,839.145747883026,0.5582319400313477,1.9469744133539777
58,COLOMBA,60,800.533470788341,0.08851745446477305,1.4212619743910129
59,FESTIEN,151,577.229139358162,-1.4388472691524508,-1.6190628533646847
60,FESTIEN,152,599.896221273431,-1.077548836400168,-1.3104468427464022
61,FESTIEN,153,575.369662544925,-1.468486111102777,-1.6443799329112958
62,FESTIEN,154,615.196726043614,-0.8336688162700894,-1.1021279792830354
63,FESTIEN,155,704.685954471573,0.5927308455872621,0.11628243516651775
64,FESTIEN,156,735.542073696612,1.0845571670563012,0.5363935219835163
65,FESTIEN,157,722.96522003277,0.8840903608442516,0.3651576117603209
66,FESTIEN,158,683.08378644146,0.24840644236208073,-0.17783459953076308
67,FESTIEN,159,612.329947909922,-0.8793633812177607,-1.1411596303025602
68,FESTIEN,160,642.491416401226,-0.39860933726317177,-0.7305063263188212
69,FESTIEN,161,598.618319859137,-1.097917747578158,-1.3278456785523118
70,FESTIEN,162,607.872992108333,-0.9504043362017172,-1.2018418091613143
71,FESTIEN,163,653.873495207236,-0.21718645938914632,-0.5755374703017843
72,FESTIEN,164,627.90426331615,-0.6311189989680335,-0.9291127904513659
73,FESTIEN,165,693.401443567395,0.41286313613546954,-0.03735801798241671
74,FESTIEN,166,695.9724491784,0.4538432808813055,-0.002353358012881482
75,FESTIEN,167,720.329045410353,0.8420714647595723,0.32926566509049143
76,FESTIEN,168,635.478046885427,-0.510397851719632,-0.8259944940965956
77,FESTIEN,169,779.686111341961,1.788184201018652,1.137421781448789
78,FESTIEN,170,701.036350596516,0.534558551281635,0.06659248422940887
79,FESTIEN,171,590.610085911955,-1.2255637491696316,-1.4368790875334823
80,FESTIEN,172,649.937251437116,-0.2799276057965861,-0.6291300700769332
81,FESTIEN,173,680.719197035171,0.21071643666181492,-0.2100288692672483
82,FESTIEN,174,689.120095860279,0.34462125910732894,-0.09564926404483161
83,FESTIEN,175,585.345925923753,-1.3094710099544205,-1.5085514828108342
84,FESTIEN,176,667.649616497969,0.0023958869557687257,-0.38797333609024026
85,FESTIEN,177,756.043249251081,1.4113324716630897,0.8155203648764818
